,count,mean,std,min,25%,50%,75%,max
Idade,386.0,36.932642487046635,21.3460205667962,0.0,18.0,36.0,52.0,90.0
Erro_Dose_1,386.0,0.8601036269430051,0.3473296867696259,0.0,1.0,1.0,1.0,1.0
Adverso_Dose_1,386.0,0.21502590673575128,0.4113735299521344,0.0,0.0,0.0,0.0,1.0
Erro_Dose_2,386.0,0.5077720207253886,0.5005884431835129,0.0,0.0,1.0,1.0,1.0
Adverso_Dose_2,386.0,0.10880829015544041,0.31180268408277806,0.0,0.0,0.0,0.0,1.0
Erro_Dose_3,386.0,0.3316062176165803,0.47140134868883904,0.0,0.0,0.0,1.0,1.0
Adverso_Dose_3,386.0,0.023316062176165803,0.15110119977189201,0.0,0.0,0.0,0.0,1.0
Erro_Dose_4,386.0,0.3601036269430052,0.48065322395787263,0.0,0.0,0.0,1.0,1.0
Adverso_Dose_4,386.0,0.007772020725388601,0.08792978216594316,0.0,0.0,0.0,0.0,1.0
Erro_Dose_5,386.0,0.17357512953367876,0.3792352739951691,0.0,0.0,0.0,0.0,1.0
Adverso_Dose_5,386.0,0.0051813471502590676,0.07188803172790963,0.0,0.0,0.0,0.0,1.0
Sexo_Feminino,386.0,0.5492227979274611,0.49821699450016216,0.0,0.0,1.0,1.0,1.0
Sexo_Masculino,386.0,0.4481865284974093,0.4979535537980677,0.0,0.0,0.0,1.0,1.0
Sexo_Nao_Informado,386.0,0.0025906735751295338,0.05089865985592876,0.0,0.0,0.0,0.0,1.0
Raca_0,386.0,0.04922279792746114,0.21661364756190535,0.0,0.0,0.0,0.0,1.0
Raca_Amarela,386.0,0.07512953367875648,0.26394235657246967,0.0,0.0,0.0,0.0,1.0
Raca_Branca,386.0,0.18652849740932642,0.39003812063620735,0.0,0.0,0.0,0.0,1.0
Raca_Nao_Informado,386.0,0.0025906735751295338,0.05089865985592876,0.0,0.0,0.0,0.0,1.0
Raca_Negra,386.0,0.054404145077720206,0.2271078063894622,0.0,0.0,0.0,0.0,1.0
Raca_Parda,386.0,0.5984455958549223,0.49084889985314895,0.0,0.0,1.0,1.0,1.0
Raca_Preta,386.0,0.03367875647668394,0.180635071351291,0.0,0.0,0.0,0.0,1.0
Nivel_Gravidade,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atendimento_Medico,386.0,0.07253886010362694,0.25971468819685717,0.0,0.0,0.0,0.0,1.0
